ID,Term,Definition,Extended Notes,Type,Examples,Domain,Sensitivity Level,Misinterpretations,Reality,Related Terms,Tags
269,Typical Beliefs,"A dimension describing common beliefs and assumptions someone holds about sex, desire, roles, and what a “good relationship” should look like.","Typical beliefs often come from culture, religion, family messaging, and past relationships. They shape consent language, initiation expectations, shame levels, and what feels “allowed.” In geo-diverse reporting, beliefs should be discussed respectfully and with options: keep values while updating unhelpful myths.",Framework & Model,Belief that sex should be spontaneous and “natural”; Belief that saying no is disrespectful; Belief that good partners should mind-read without talking.,Relationship Dynamics & Intimacy,Sensitive,Beliefs are facts; Beliefs can’t change; Different beliefs mean incompatibility; Beliefs justify pressuring a partner.,That’s not always true. It describes a dimension describing common beliefs and assumptions someone holds about sex desire.; It depends. Think of it as a dimension describing common beliefs and assumptions someone holds about sex desire.; Not necessarily. Think of it as a dimension describing common beliefs and assumptions someone holds about sex desire.; It depends. It’s about a dimension describing common beliefs and assumptions someone holds about sex desire.,Social Software; Sexual Script; Sexual Tabooization; Consent Frameworks,sexual-scripts; cultural-norms; relationship-dynamics-intimacy; framework-model
270,Typical Sexual Fantasies,"The recurring fantasy themes or scenarios a person tends to find erotic, which may or may not match what they want in real life.","Fantasy themes can involve novelty, power, romance, taboo, tenderness, or role play, and they are shaped by learning, culture, and personal history. Having a fantasy does not equal wanting to act it out; consent and boundaries always apply. Talking about fantasies can deepen intimacy when approached with curiosity, privacy, and clear agreements.",Trait & Disposition,Someone enjoys “stranger” novelty fantasies while preferring monogamy in life; A person has power-play fantasies but keeps them within negotiated role play; Partners share a romantic storyline fantasy to increase arousal.,"Fantasy, Kink & Exploration",Highly Sensitive,"Fantasies reveal real-world intentions; If you fantasize about something, you must do it; Fantasies are abnormal and shameful; Sharing fantasies means you are dissatisfied with your partner.",It depends. It describes the recurring fantasy themes or scenarios a person tends to find erotic.; That’s not always true. Think of it as the recurring fantasy themes or scenarios a person tends to find erotic.; It depends. It’s about the recurring fantasy themes or scenarios a person tends to find erotic.; It doesn’t mean you are dissatisfied with your partner.,Sexual Shadow; Fantasy; Role Play; Roleplay Boundaries; Consent; Fantasy Comfort,kink-curiosity; fantasy-vs-reality; fantasy-kink-exploration; trait-disposition
271,Vagus Nerve,"A major nerve connecting brain and body that supports regulation of heart rate, breathing, digestion, and social engagement—important for calming into intimacy.","The vagus nerve is often discussed as part of polyvagal ideas and “rest-and-digest” functioning. Practices like slow exhale breathing, humming, and gentle movement can support vagal tone for some people, though effects vary and are not a replacement for medical care. In relationships, feeling safe and connected is one of the most reliable ways to support regulation.",Data & Research Method,Using slower breathing to reduce anxiety before initiating sex; Noticing that emotional reassurance changes bodily tension quickly; Taking a warm shower or stretching to shift from stress into relaxation.,Emotional & Attachment Patterns,General,"You can “hack” the vagus nerve to fix everything; Vagal exercises guarantee increased libido; If someone can’t relax, they aren’t trying; Vagus nerve concepts replace professional health support.",You can’t “hack” this to control someone. Consent still matters.; It doesn’t guarantee outcomes. It’s one part of the picture.; That’s not always true. It describes a major nerve connecting brain and body.; It depends. It’s about a major nerve connecting brain and body.,Polyvagal Theory; Autonomic Nervous System (ANS); Somatic Integration; Arousal Brake; Emotional Safety,nervous-system-regulation; relaxation; emotional-attachment-patterns; data-research-method
272,Validation,"A signal describing how strongly someone’s desire, confidence, or satisfaction depends on feeling wanted, praised, or chosen.","Validation needs are human and vary widely. High validation sensitivity can amplify performance anxiety and reassurance-seeking, especially in cultures with strong sexual shame scripts. Healthy use means asking directly for reassurance without using guilt or pressure, and building internal self-trust alongside partner feedback.",Framework & Model,Desire rises after compliments; Arousal drops when feedback feels unclear; Someone avoids initiation due to fear of rejection and needs gentle reassurance.,Emotional & Attachment Patterns,Sensitive,Needing validation is manipulative; Validation should override boundaries; Praise will fix everything; Validation need means low maturity.,Needing validation isn’t always manipulative. It’s about a signal describing how strongly someone’s desire confidence or satisfaction depends.; Boundaries still apply. This doesn’t remove limits.; That’s not always true. It’s about a signal describing how strongly someone’s desire confidence or satisfaction depends.; It doesn’t mean low maturity. Think of it as a signal describing how strongly someone’s desire confidence or satisfaction depends.,Performance Anxiety; Sexual Confidence; Core Insecurities,reassurance; confidence; feeling-desired; validation; emotional-attachment-patterns; framework-model
273,Validation Need,"Validation Need refers to the degree to which a person relies on acknowledgment, reassurance, or emotional confirmation from others to feel understood and secure in a relationship.","Validation Need describes how emotional reassurance functions within ongoing relationship dynamics rather than as a fixed personality trait. It is closely connected to Emotional Intimacy and Attachment Style, as patterns of closeness and responsiveness shape how much validation feels necessary. Within a relationship assessment platform, validation need is inferred from communication patterns in relationships, such as reassurance-seeking or sensitivity to feedback. Understanding this pattern supports personalized relationship insights by clarifying how emotional needs are expressed and received.",Trait & Disposition,A partner frequently seeks verbal reassurance after minor disagreements; A relationship report highlights differing validation needs between partners; Communication insights show increased validation-seeking during periods of stress,Emotional & Attachment Patterns,General,Validation need means emotional dependence; Validation need indicates insecurity or weakness; Validation need must always be reduced,Validation Need doesn’t mean emotional dependence. It describes the degree.; Not necessarily. It’s about the degree.; It can vary. Context matters.,Emotional Intimacy; Attachment Style; Rejection Sensitivity; Communication Patterns,self-awareness; relationship-insights; emotional-intimacy; attachment-patterns; emotional-attachment-patterns; trait-disposition
274,Validation-Based Arousal,"An arousal pattern where feeling desired, admired, or chosen strongly increases desire and sexual confidence.","Validation-based arousal is common and often shows up as responsiveness to compliments, attention, or erotic “being seen” cues. It can become fragile when self-worth depends entirely on external feedback, increasing performance anxiety or reassurance loops. Healthy support balances partner praise with self-trust, clear boundaries, and non-pressure initiation.",Pattern & Dynamic,Desire rises after compliments or flirtation; Arousal drops when feedback feels unclear; Feeling “wanted” is the strongest turn-on cue.,Desire & Arousal,Sensitive,"Needing validation is manipulative; Praise should override boundaries; If you need reassurance, you’re incompatible; Validation-based arousal means you’re insecure forever.",Needing validation isn’t always manipulative. It describes an arousal pattern where feeling desired admired or chosen strongly increases desire.; Boundaries still apply. This doesn’t remove limits.; Difference isn’t automatic incompatibility. Many gaps improve with communication.; It doesn’t mean you’re insecure forever.,Validation; Performance Anxiety; Being Seen,reassurance; sexual-confidence; feeling-desired; modern-dating; desire-arousal; pattern-dynamic
275,Validity,The degree to which an assessment measures what it is intended to measure.,"Validity refers to how well a measure captures what it intends to assess. A valid result is meaningful and relevant, not just precise or consistent.",Metric & Measurement,Survey questions accurately reflecting communication patterns; results aligning with real-world experiences over time.,"Data, Privacy & Measurement",General,Valid results are perfectly precise; validity means results never change; validity and reliability are the same.,Not necessarily. It describes the degree.; It isn’t fixed. Context matters.; That’s not always true. It’s about the degree.,Reliability; Bias; Privacy Constraints; Privacy; Scores & Benchmarks,measurement; research; data-privacy-measurement; metric-measurement
276,Voyeurism,An erotic interest in watching others in sexual or intimate contexts—ethical only when everyone involved consents and privacy is protected.,"Reports must distinguish consensual voyeurism (e.g., watching a partner, consensual adult content, agreed-upon situations) from non-consensual spying, which is harmful and illegal. Healthy practice includes explicit permission, clear boundaries, and strong privacy/digital safety practices, especially across regions with different legal norms.",Identity & Orientation,"Enjoying consensual watching with a partner; Watching consensual adult content as fantasy; Joining a consensual, rules-based environment with explicit consent (where legal).","Fantasy, Kink & Exploration",Highly Sensitive,"Voyeurism is always spying; Watching equals consent for action; If you like watching, you can ignore boundaries; Voyeurism must be public or risky to count.","It can change. Timing matters.; Consent is required. Without it, stop.; Boundaries still apply. This doesn’t remove limits.; It depends. It describes an erotic interest in watching others in sexual or intimate contexts ethical.",Exhibitionism; Ethical Constraints; Consent Frameworks,consent-first; privacy; kink-education; fantasy-kink-exploration; identity-orientation
277,Vulnerability Tolerance,"Vulnerability Tolerance refers to the capacity to remain emotionally present and regulated when sharing or receiving personal thoughts, feelings, or uncertainties within a relationship.","Vulnerability Tolerance describes how comfortable emotional openness feels during moments of uncertainty, disclosure, or emotional risk. It is closely related to Emotional Intimacy and Emotional Safety, as repeated interactions shape whether vulnerability is experienced as connecting or threatening. Within a relationship assessment platform, this pattern is inferred from communication patterns in relationships, such as responses to disclosure or emotional repair. Understanding vulnerability tolerance supports self-awareness in relationships by clarifying how openness and emotional regulation interact over time.",Trait & Disposition,A partner shares fears without withdrawing or becoming defensive; Emotional disclosures are met with steady engagement rather than avoidance; A relationship insight highlights low tolerance during high-stress conversations,Emotional & Attachment Patterns,General,Vulnerability tolerance means sharing everything immediately; Low vulnerability tolerance equals emotional unavailability; Vulnerability tolerance reflects moral or emotional strength,Vulnerability Tolerance doesn’t mean sharing everything immediately.; It isn’t emotional unavailability. It describes the capacity to remain emotionally present and regulated when sharing or receiving.; Not necessarily. Think of it as the capacity to remain emotionally present and regulated when sharing or receiving.,Emotional Safety; Emotional Intimacy; Attachment Style; Emotional Regulation,self-awareness; relationship-insights; emotional-intimacy; emotional-safety; emotional-attachment-patterns; trait-disposition
278,Wave-Based Arousal,"An arousal pattern where desire builds and ebbs in waves, often needing sustained safety, time, and attunement rather than quick triggers.","Wave-based arousal often benefits from slow pacing, emotional safety, and reduced performance pressure. It can be especially common in long-term partnerships and during life stages with high stress or low privacy. Reports should highlight that waves are normal and can be very pleasurable—without needing a single “peak.”",Pattern & Dynamic,"Arousal builds gradually during extended touch; Desire returns in cycles during intimacy; Needs time and privacy to crest; Enjoys longer, connected sessions.",Desire & Arousal,General,"Wave arousal is low libido; If it takes time, attraction is missing; Waves should lead to orgasm every time; Wave patterns aren’t compatible with spontaneous partners.","Wave arousal isn’t always low libido. It’s about an arousal pattern where desire builds and ebbs in waves often needing.; If it takes time, attraction isn’t always missing.; It can vary. Context matters.; It depends. It’s about an arousal pattern where desire builds and ebbs in waves often needing.",State-Based Reward; Optimal Sexual States; Arousal Curve; Presence vs Performance,couples-tools; intimacy-pacing; responsive-arousal; desire-arousal; pattern-dynamic
279,Aggregation & Coarsening,Privacy techniques that summarize data (aggregation) or reduce precision (coarsening) to lower re-identification risk.,"Often shows up as deciding what information is shared and how it’s protected. It’s shaped by sensitivity of the topic, audience, and consent.",Framework & Model,Example: Sharing only what’s needed; Another example: Keeping sensitive details private,"Data, Privacy & Measurement",General,Numbers capture the whole truth; Privacy and safety are optional,That’s not always true. Think of it as privacy techniques.; Not necessarily. Think of it as privacy techniques.,Re-Identification Risk; Privacy Constraints; Anonymization; Privacy; DADT,privacy; data-privacy-measurement; framework-model
280,Anonymization,Techniques that remove or obscure identifying details so individuals can’t be easily linked to sensitive data.,"Commonly described as deciding what information is shared and how it’s protected. It tends to shift with sensitivity of the topic, audience, and consent.",Framework & Model,Removing names and contact details from notes; Summarizing responses so individuals can’t be singled out; Summarizing responses so individuals can’t be singled out,"Data, Privacy & Measurement",General,Anonymized means impossible to identify; Privacy doesn’t matter if data is ‘helpful’,Anonymization doesn’t mean impossible to identify. It’s about techniques.; Privacy doesn’t matter if data isn’t always ‘helpful’. Think of it as techniques.,Re-Identification Risk; Privacy Constraints; Aggregation & Coarsening; Tiered Access Approach; Anonymized Research Access,privacy; data-privacy-measurement; framework-model
282,Autonomic Nervous System,"The body system that regulates activation and relaxation (fight/flight/freeze vs. rest/digest), shaping arousal, comfort, and stress responses.","You might notice it as interest rising or fading based on context and cues. It often improves when sleep, stress, novelty, and emotional safety.",Framework & Model,Arousal increasing with teasing and anticipation; Losing arousal when distracted; Feeling turned on after emotional closeness,Desire & Arousal,Sensitive,"Arousal should be constant; If it fades, something is wrong",That’s not always true. Think of it as the body system.; This doesn’t mean you’re broken. Many factors can change how it shows up.,Autonomic Nervous System (ANS); Hardware–Software Framework; Biochemical Reward System Dynamics; Sexual Excitation System (SES); Sexual Readiness,autonomic-nervous-system; desire-arousal; framework-model
283,Being Chosen,"Feeling intentionally prioritized and desired—through actions, attention, and follow-through.","In everyday relationships, this can look like feeling close, understood, and emotionally connected. Context like responsiveness, conflict repair, and daily habits changes how it feels.",State & Experience,Feeling close after repair; Drifting when routines disappear; Reconnecting through shared time,Relationship Dynamics & Intimacy,General,"A healthy relationship has no friction; If it’s meant to be, it stays easy",Not necessarily. It’s about feeling intentionally prioritized and desired through actions attention and follow-through.; Not necessarily. Think of it as feeling intentionally prioritized and desired through actions attention and follow-through.,Trust Building; Being Seen; Emotional Intimacy; Trust Repair; Grounded / Integrated,relationship-dynamics-intimacy; state-experience
284,Being Safe,"A felt sense that vulnerability won’t be punished—often supported by gentleness, consent, and reliable repair.","Often shows up as feeling close, understood, and emotionally connected. It’s shaped by responsiveness, conflict repair, and daily habits.",State & Experience,Feeling close after repair; Drifting when routines disappear,Relationship Dynamics & Intimacy,General,"A healthy relationship has no friction; If it’s meant to be, it stays easy",That’s not always true. Think of it as a felt sense.; That’s not always true. It describes a felt sense.,Intimacy; Trust Repair; Grounded / Integrated; Trust; Relationship Stability,relationship-dynamics-intimacy; state-experience
285,Being Seen,"Feeling understood and valued for your inner experience (needs, feelings, identity), not just behavior.","In everyday relationships, this can look like feeling close, understood, and emotionally connected. Context like responsiveness, conflict repair, and daily habits changes how it feels.",State & Experience,Feeling close after repair; Drifting when routines disappear; Reconnecting through shared time,Relationship Dynamics & Intimacy,General,"A healthy relationship has no friction; If it’s meant to be, it stays easy",It depends. It’s about feeling understood and valued for your inner experience not just behavior.; Not necessarily. It describes feeling understood and valued for your inner experience not just behavior.,Being Chosen; Trust Repair; Identity & Orientation; Emotional Intimacy; Grounded / Integrated,being-seen; relationship-dynamics-intimacy; state-experience
286,Biochemical Reward System Dynamics,"How reward and bonding systems (e.g., dopamine, oxytocin) interact with stress and context to shape desire, attachment, and pleasure.","Commonly described as interest rising or fading based on context and cues. It tends to shift with sleep, stress, novelty, and emotional safety.",Framework & Model,Example: Arousal increasing with teasing and anticipation; Another example: Losing arousal when distracted,Desire & Arousal,Sensitive,"Arousal should be constant; If it fades, something is wrong; Desire is purely physical",Not necessarily. It’s about how reward and bonding systems interact with stress and context to shape.; This doesn’t mean you’re broken. Many factors can change how it shows up.; Desire isn’t always purely physical.,Biochemical Reward Dynamics; Neurochemical “Big Three” (dopamine / oxytocin-vasopressin / endogenous opioids); Sexual Architecture; Evolutionary Hardware; Base Code (Evolutionary Ethology),desire-arousal; framework-model
287,Body-First Arousal,"Arousal that starts as bodily sensation (touch, breath, nervous-system shift) and then becomes mental desire.","In everyday relationships, this can look like interest rising or fading based on context and cues. Context like sleep, stress, novelty, and emotional safety changes how it feels.",State & Experience,Example: Arousal increasing with teasing and anticipation; Another example: Losing arousal when distracted,Desire & Arousal,Sensitive,"Arousal should be constant; If it fades, something is wrong; Desire is purely physical; It can’t change",That’s not always true. Think of it as arousal.; This doesn’t mean you’re broken. Many factors can change how it shows up.; Desire isn’t always purely physical. Think of it as arousal.; Not necessarily. It describes arousal.,Desire; Hardware–Software Framework; Cognitive and Somatic Dissonance; Arousal; Libido,desire-arousal; state-experience
288,Commitment Scripts,"Implicit rules someone carries about what commitment ‘should’ look like (timelines, exclusivity, rituals, roles).","In everyday relationships, this can look like feeling close, understood, and emotionally connected. Context like responsiveness, conflict repair, and daily habits changes how it feels.",Framework & Model,Example: Feeling close after repair; Another example: Drifting when routines disappear,Relationship Dynamics & Intimacy,General,"A healthy relationship has no friction; If it’s meant to be, it stays easy; Needs shouldn’t change; It can’t change",That’s not always true. Think of it as implicit rules someone carries about what commitment should look like.; Not necessarily. Think of it as implicit rules someone carries about what commitment should look like.; It depends. It’s about implicit rules someone carries about what commitment should look like.; Not necessarily. It’s about implicit rules someone carries about what commitment should look like.,Typical Beliefs; Social Software; Interpretive Depth; Identity & Orientation; Physical Touch Comfort,relationship-dynamics-intimacy; framework-model
289,Communication,"The ways partners share information, feelings, needs, and boundaries—through words, tone, timing, and behavior.","You might notice it as tone, timing, and clarity in conversations. It often improves when stress, conflict, and how safe it feels to be honest.",Practice & Skill,Saying what you want directly; Using a playful hint and then checking in,Sexual Communication & Initiation,General,"Good communication means always being calm; If you love each other, you shouldn’t need to explain; More talking is always better; It can’t change",It isn’t fixed. Context matters.; Not necessarily. It’s about the ways partners share information feelings needs and boundaries through words tone.; It can change. Timing matters.; That’s not always true. It’s about the ways partners share information feelings needs and boundaries through words tone.,Disclosure Comfort; Communication Patterns; Initiation & Communication Style; Touch Preferences; Initiation Style,communication; sexual-communication-initiation; practice-skill
290,Communication Patterns,"Recurring interaction loops between partners (e.g., pursue–withdraw, criticism–defensiveness) that shape connection and conflict over time.","You might notice it as tone, timing, and clarity in conversations. It often improves when stress, conflict, and how safe it feels to be honest. Often discussed as “relationship communication cycles” or “pursue–withdraw patterns.”",Practice & Skill,"One partner pursues answers while the other shuts down; Conflict repeats around the same topic with escalating tone; After a repair talk, the pattern softens",Sexual Communication & Initiation,General,"If we have a pattern, the relationship is doomed; The ‘right’ partner eliminates conflict",That’s not always true. It describes recurring interaction loops between partners.; That’s not always true. Think of it as recurring interaction loops between partners.,Initiation Pattern; Initiation Style; Communication; Sexting; Initiation & Communication Style,communication-patterns; communication; sexual-communication-initiation; practice-skill
291,Compatibility Dynamics,"How two partners’ needs, styles, and contexts interact—creating ease, friction, or growth opportunities.","Often shows up as feeling close, understood, and emotionally connected. It’s shaped by responsiveness, conflict repair, and daily habits.",Framework & Model,Feeling close after repair; Drifting when routines disappear,Relationship Dynamics & Intimacy,General,"A healthy relationship has no friction; If it’s meant to be, it stays easy; Needs shouldn’t change",That’s not always true. It’s about how two partners needs styles and contexts interact creating ease friction.; Not necessarily. It’s about how two partners needs styles and contexts interact creating ease friction.; Not necessarily. Think of it as how two partners needs styles and contexts interact creating ease friction.,Interpretive Depth; Physical Touch Comfort; Identity & Orientation; Sexual Stage; Friction Points,compatibility-dynamics; relationship-dynamics-intimacy; framework-model
292,Consent Awareness,"Skill at noticing consent cues, checking assumptions, and ensuring participation is enthusiastic and ongoing.","Commonly described as clear check-ins, pausing, and respecting ‘no’ or ‘not yet’. It tends to shift with trust, power dynamics, and the situation.",Framework & Model,Noticing hesitation and checking in; Asking ‘Do you want to keep going?’ during a makeout session,Consent & Boundaries,Sensitive,"If there’s chemistry, consent is implied; Asking ruins the moment; Consent is a one-time yes",Comfort and consent lead. Everything else follows.; It depends. It describes skill at noticing consent cues checking assumptions and ensuring participation is enthusiastic.; Comfort and consent lead. Everything else follows.,Consent; Consent Frameworks; Silent (Assumed) Monogamy; Safer-Sex Agreements; Ethics,consent; consent-awareness; consent-boundaries; framework-model
294,DADT,"‘Don’t Ask, Don’t Tell’—an agreement style where certain details (often about outside partners) are intentionally not shared to reduce distress.","Commonly described as deciding what information is shared and how it’s protected. It tends to shift with sensitivity of the topic, audience, and consent. Also called a “don’t ask, don’t tell” agreement.",Framework & Model,"A couple agrees not to share details about outside dates; A partner asks only for health-related updates, not personal stories; A partner asks only for health-related updates, not personal stories","Data, Privacy & Measurement",General,DADT means no rules; Avoiding details always prevents jealousy; It works for everyone; It can’t change,DADT doesn’t mean no rules. It’s about don’t Ask Don’t Tell an agreement style where certain details are intentionally.; Jealousy isn’t proof of love. It often signals fear or insecurity.; Not necessarily. Think of it as don’t Ask Don’t Tell an agreement style where certain details are intentionally.; That’s not always true. It describes don’t Ask Don’t Tell an agreement style where certain details are intentionally.,Don’t-Ask-Don’t-Tell (DADT); Tiered Access Approach; Privacy; Aggregation & Coarsening; Privacy Constraints,dadt; data-privacy-measurement; framework-model
296,Disclosure Comfort,How safe and willing someone feels sharing personal or sexual information.,"Often shows up as a recognizable pattern in thoughts, feelings, or behavior. It’s shaped by context, communication, and personal history.",Practice & Skill,Saying what you want directly; Using a playful hint and then checking in,Sexual Communication & Initiation,General,"Talking about sex kills spontaneity; If you have to ask, it’s not sexy; Signals are always obvious; It can’t change",It depends. It’s about how safe and willing someone feels sharing personal or sexual information.; Not necessarily. Think of it as how safe and willing someone feels sharing personal or sexual information.; It can vary. Context matters.; That’s not always true. Think of it as how safe and willing someone feels sharing personal or sexual information.,Initiation & Communication Style; Initiation Style; Communication; Fantasy Disclosure; Sexting,communication; sexual-communication-initiation; practice-skill
297,Emotional Regulation,"The ability to notice, tolerate, and recover from emotional activation without escalating or shutting down.","Commonly described as seeking reassurance, pulling away, or reacting strongly to distance. It tends to shift with past experiences, current stress, and relationship reliability.",Framework & Model,Seeking reassurance after a delayed reply; Feeling safer after consistent follow-through; Feeling safer after consistent follow-through,Emotional & Attachment Patterns,Sensitive,Strong feelings mean someone is ‘too needy’; Reacting strongly is just drama; Attachment patterns can’t change,Strong feelings mean someone isn’t always ‘too needy’.; Reacting strongly isn’t always just drama.; That’s not always true. It describes the ability to notice tolerate and recover from emotional activation without escalating.,Attachment Style; Validation; Psychological Software; Polyvagal Theory; Vagus Nerve,emotional-regulation; emotional-attachment-patterns; framework-model
298,Ethics,"The principles that guide what’s appropriate, respectful, and non-harmful—especially around consent, privacy, and power.","You might notice it as a recognizable pattern in thoughts, feelings, or behavior. It often improves when context, communication, and personal history.",Framework & Model,Pausing to ask permission; Agreeing on what’s off-limits,Consent & Boundaries,General,"A boundary is a punishment; Consent is only about sex; If someone doesn’t say no, it’s yes; It can’t change",Boundaries still apply. This doesn’t remove limits.; Comfort and consent lead. Everything else follows.; That’s not always true. It’s about the principles.; Not necessarily. It’s about the principles.,Consent Frameworks; Non-Harm Principles; Consent Awareness; Privacy Boundary; Silent (Assumed) Monogamy,ethics; consent-boundaries; framework-model
300,Gates / Guardrails,"Constraints and checks designed to prevent harmful outputs or unsafe behavior (e.g., consent-first rules, privacy limits).","You might notice it as deciding what information is shared and how it’s protected. It often improves when sensitivity of the topic, audience, and consent.",Framework & Model,Sharing only what’s needed; Keeping sensitive details private; Using summarized insights instead of raw data,"Data, Privacy & Measurement",General,Numbers capture the whole truth; Privacy and safety are optional,It depends. Think of it as constraints and checks designed to prevent harmful outputs or unsafe behavior.; That’s not always true. Think of it as constraints and checks designed to prevent harmful outputs or unsafe behavior.,Privacy Constraints; Tiered Access Approach; Re-Identification Risk; Aggregation & Coarsening; Privacy,privacy; data-privacy-measurement; framework-model
301,Growth Report — Your Intimacy Journey,"A user-facing summary that reflects patterns over time and suggests growth areas, based on completed reflections or check-ins.","Commonly described as feeling close, understood, and emotionally connected. It tends to shift with responsiveness, conflict repair, and daily habits.",State & Experience,Example: Feeling close after repair; Another example: Drifting when routines disappear,Relationship Dynamics & Intimacy,General,"A healthy relationship has no friction; If it’s meant to be, it stays easy; Needs shouldn’t change",Not necessarily. It describes a user-facing summary.; Not necessarily. Think of it as a user-facing summary.; Not necessarily. It’s about a user-facing summary.,Relationship Stability; Trust Building; Longitudinal Check-ins; Feedback Loops; Being Chosen,intimacy; relationship-dynamics-intimacy; state-experience
302,Identity & Orientation,"An umbrella for how someone experiences identity and attraction (e.g., gender identity, sexual orientation, romantic orientation).","Commonly described as feeling close, understood, and emotionally connected. It tends to shift with responsiveness, conflict repair, and daily habits.",Framework & Model,Feeling close after repair; Drifting when routines disappear; Reconnecting through shared time,Relationship Dynamics & Intimacy,General,"A healthy relationship has no friction; If it’s meant to be, it stays easy; Needs shouldn’t change",That’s not always true. Think of it as an umbrella for how someone experiences identity and attraction.; It depends. It describes an umbrella for how someone experiences identity and attraction.; Not necessarily. Think of it as an umbrella for how someone experiences identity and attraction.,Monogamy; Physical Touch Comfort; Open Relationship; Interpretive Depth; Sexual Stage,relationship-dynamics-intimacy; framework-model
303,Initiation & Communication Style,"How someone tends to start intimacy and how they communicate interest, consent, and preferences.","In everyday relationships, this can look like tone, timing, and clarity in conversations. Context like stress, conflict, and how safe it feels to be honest changes how it feels.",Practice & Skill,Saying what you want directly; Using a playful hint and then checking in; Naming a boundary before things escalate,Sexual Communication & Initiation,General,"Talking about sex kills spontaneity; If you have to ask, it’s not sexy; Signals are always obvious; It can’t change",That’s not always true. It’s about how someone tends to start intimacy and how they communicate interest consent.; That’s not always true. It describes how someone tends to start intimacy and how they communicate interest consent.; It can change. Timing matters.; Not necessarily. It describes how someone tends to start intimacy and how they communicate interest consent.,Initiation Style; Communication Style; Disclosure Comfort; Active / Direct Initiation; Direct & Assertive,communication; sexual-communication-initiation; practice-skill
304,Initiation Style,"The typical way someone starts sexual or intimate connection (e.g., direct, indirect, playful, slow-build).","Often shows up as a recognizable pattern in thoughts, feelings, or behavior. It’s shaped by context, communication, and personal history.",Practice & Skill,Saying what you want directly; Using a playful hint and then checking in,Sexual Communication & Initiation,General,"Talking about sex kills spontaneity; If you have to ask, it’s not sexy; Signals are always obvious",It depends. It describes the typical way someone starts sexual or intimate connection.; It depends. It describes the typical way someone starts sexual or intimate connection.; It isn’t fixed. Context matters.,Initiation & Communication Style; Sexting; Disclosure Comfort; Indirect / Invitational Initiation; Communication Patterns,initiation-style; sexual-communication-initiation; practice-skill
305,Interpretive Depth,A glossary entry for Interpretive Depth.,"In everyday relationships, this can look like feeling close, understood, and emotionally connected. Context like responsiveness, conflict repair, and daily habits changes how it feels.",Framework & Model,Feeling close after repair; Drifting when routines disappear; Reconnecting through shared time,Relationship Dynamics & Intimacy,General,"A healthy relationship has no friction; If it’s meant to be, it stays easy",That’s not always true. It describes a glossary entry for Interpretive Depth.; That’s not always true. It’s about a glossary entry for Interpretive Depth.,Identity & Orientation; Privacy Constraints; Jealousy Management; Compatibility Dynamics; Commitment Scripts,relationship-dynamics-intimacy; framework-model
306,Intimacy,"A felt sense of closeness and mutual knowing—often involving emotional safety, responsiveness, and (sometimes) physical or sexual connection.","You might notice it as feeling close, understood, and emotionally connected. It often improves when responsiveness, conflict repair, and daily habits.",State & Experience,Feeling emotionally close after a vulnerable conversation; Feeling distant despite being physically affectionate; Reconnecting through shared rituals like bedtime check-ins,Relationship Dynamics & Intimacy,General,"Intimacy equals sex; Intimacy means never needing boundaries; If it’s real, it should be effortless",Intimacy isn’t sex. It describes a felt sense of closeness and mutual knowing often involving emotional safety.; Boundaries still apply. This doesn’t remove limits.; Not necessarily. It describes a felt sense of closeness and mutual knowing often involving emotional safety.,Emotional Intimacy; Being Safe; Trust Building; Intimacy Frequency Expectations; Trust,intimacy; relationship-dynamics-intimacy; state-experience
307,Jealousy Management,"Skills and agreements that reduce jealousy escalation and build security (e.g., reassurance, boundaries, repair).","You might notice it as feeling close, understood, and emotionally connected. It often improves when responsiveness, conflict repair, and daily habits.",Framework & Model,Example: Feeling activated after seeing flirting and asking for reassurance; Another example: Setting boundaries that reduce spirals,Relationship Dynamics & Intimacy,General,Jealousy is proof of love; The goal is to never feel jealous; Reassurance is the same as control,Jealousy isn’t proof of love. It often signals fear or insecurity.; Jealousy isn’t proof of love. It often signals fear or insecurity.; It isn’t a control tactic. It’s about skills and agreements.,Interpretive Depth; Sexual Stage; Identity & Orientation; Compatibility Dynamics; Relationship Anarchy,jealousy; relationship-dynamics-intimacy; framework-model
309,Novelty,"Newness or variety that can increase interest and arousal, especially when paired with safety and connection.","In everyday relationships, this can look like interest rising or fading based on context and cues. Context like sleep, stress, novelty, and emotional safety changes how it feels.",State & Experience,Trying a new date activity and feeling more spark; Changing setting or pacing and noticing increased arousal,Desire & Arousal,Sensitive,Needing novelty means you can’t commit; Novelty is the only way to keep desire alive; A single moment defines the whole relationship; It can’t change,Novelty doesn’t mean you can’t commit. It’s about newness or variety.; It depends. It describes newness or variety.; It depends. It describes newness or variety.; Not necessarily. It describes newness or variety.,Sexual Desire; Desire; Novelty Seeking; Libido; Performance Anxiety,novelty; desire-arousal; state-experience
