ID,Term,Type,Definition,Extended Notes,Examples,Domain,Sensitivity Level,Misinterpretations,Related Terms,Tags
103,State Optimization,Practice & Skill,"Intentional shaping of internal state-stress, safety, attention, and mood-to support connection, arousal, and better decision-making in intimacy.","State optimization focuses on conditions that make desire and presence more likely (sleep, privacy, emotional safety, pacing) rather than forcing outcomes. It can be as simple as creating a calm transition from work to home or as structured as a pre-intimacy ritual. The aim is supportive context, not performance pressure.",Taking a short decompression walk before date night; Turning off notifications and improving privacy cues; Doing a brief breathing practice to reduce stress before initiating intimacy.,Desire & Arousal,Sensitive,"State optimization means you can control libido on demand; If you optimize, consent is automatic; Optimization is only for high-performance couples; If state work is needed, attraction is missing.",Stress And Desire; Autonomic Nervous System (ANS); Arousal Brake; Optimal Sexual States; Flow States,state-optimization; stress-regulation; intimacy-context; arousal-support; lifestyle
104,State-Based Reward,Framework & Model,"A reward pattern where satisfaction comes primarily from ongoing states such as closeness, relaxation, play, and shared presence rather than specific outcomes.","State-based reward supports long-term intimacy by making the process rewarding even when specific goals vary. It often strengthens bonding, reduces pressure, and improves resilience during life stages when frequency or performance changes. It does not exclude orgasm or novelty-it simply broadens what ""counts"" as rewarding.",Enjoying slow kissing and touch even without escalation; Feeling satisfied from emotional closeness and aftercare; Valuing playfulness and safety as core rewards of intimacy.,Pleasure & Sexual Wellbeing,General,"State-based reward means low desire; State-based reward is less ""real"" than orgasm; If you focus on states, you should never want novelty; State-based reward removes the need to discuss preferences.",Event-Based Reward; Flow States; Aftercare; Emotional Intimacy; Presence vs Performance,state-based-reward; connection; process-over-outcome; intimacy; satisfaction
105,Structured Action → Integration Sequence,Practice & Skill,"A change pathway where people take small, specific actions and then integrate learning through reflection, feedback, and repetition until it becomes a stable skill.","This sequence avoids “insight-only” loops by turning understanding into practice (e.g., one new communication habit per week). Integration includes aftercare, repair, and review so change remains consent-centered and sustainable across life stages and cultural contexts.","Try one new consent check-in phrase, then debrief what worked; Practice a pacing adjustment, then integrate it into your initiation routine; Use monthly check-ins to stabilize new intimacy habits.",Relationship Dynamics & Intimacy,General,Action without reflection leads to pressure; Integration means suppressing desire; A single action step should fix everything; Structured change makes intimacy robotic.,Longitudinal Check-ins; Feedback Loops; Reflective Prompts; Embodied Integration; State Optimization,action-integration; habit-formation; relationship-skills; intimacy-practice; behavior-change; sustainable-growth
106,Suppression of Rare Combinations,Data & Research Method,A privacy method that removes or masks data records/fields that become identifying due to rare attribute combinations.,"This is especially important for small samples, small countries/regions, or minority subgroups where uniqueness is common. Suppression can be paired with aggregation/coarsening and controlled access to protect users while allowing responsible research.",Masking cells where fewer than a minimum number of users appear; Removing an uncommon job title from exports; Suppressing cross-tabs that reveal unique combinations.,"Data, Privacy & Measurement",General,Suppression is data manipulation and always wrong; Rare combinations don’t matter if names are removed; Suppression alone solves privacy; Suppression makes findings invalid automatically.,Aggregation & Coarsening; Quasi-Identifiers; Re-Identification Risk; Controlled Research Environments,suppression; rare-combinations; privacy-preserving; small-samples; disclosure-control; safe-analytics
107,Systemic Gap in Sexual Education,Pattern & Dynamic,"A widespread shortfall in sexual education that leaves many people without practical, evidence-based knowledge about bodies, consent, pleasure, and healthy relationship skills.","A systemic education gap is not just “missing information”—it often creates myths, shame, and unrealistic expectations that shape adult intimacy and communication. The size and content of the gap varies by country, school system, and community, but the outcome is similar: people learn from peers, porn, or trial-and-error instead of guided, accurate learning. Closing the gap usually involves normalizing questions, teaching consent and anatomy, and building communication skills.",Adults who never learned accurate anatomy and struggle to describe what feels good; Partners who assume consent is “obvious” because no one taught explicit boundary skills; People who feel confused about arousal changes across the lifespan because education focused only on reproduction.,Pleasure & Sexual Wellbeing,General,"If you had biology class, you’re fully educated about sex; Sex education is only about preventing pregnancy and STIs; Good sex is instinctive so education is unnecessary; A systemic gap is an individual’s fault.",Consent; Boundaries; Sexual Script; Desire; Aftercare,sex-education-gap; sexual-health-literacy; consent-skills; anatomy-knowledge; relationship-education; pleasure-and-wellbeing
108,Targeted Boosts,Data & Research Method,"Rule-based adjustments that slightly increase (or decrease) scores for specific dimensions to reflect user priorities, context, or safety considerations.","Boosts can support personalization—for example, emphasizing compatibility on communication style for people who value directness. They should be bounded and auditable to avoid hidden manipulation. In international products, boosts may also be used to support local cultural calibration while preserving core consent and safety standards.",Boosting matches with similar initiation style for users who report high importance of communication; Reducing scores when a key boundary preference conflicts; Increasing weight on relationship form preference in regions where exclusivity norms differ.,Product & Assessment,General,Boosts are the same as cheating the model; Boosts should override user consent preferences; Boosts guarantee better outcomes; Boosts remove the need for validity testing.,Dimension Weights; Gates / Guardrails; Compatibility Engine; Bias; Validity; Reliability,targeted-boosts; personalization; scoring-adjustments; matching-system; cultural-calibration; safety
109,Tiered Access Approach,Framework & Model,"A governance model that provides different levels of data access based on sensitivity, risk, and role (e.g., user, analyst, researcher).","Tiering typically means: highly sensitive data is tightly restricted; less sensitive aggregates are more widely shareable. This approach supports geo-ready reporting and research partnerships while protecting users through least-privilege access, auditing, and guardrails.",User sees their own detailed results; Internal analysts see de-identified aggregates; External researchers only access controlled outputs or heavily coarsened datasets.,"Data, Privacy & Measurement",General,"Tiered access is just bureaucracy; If data is anonymized, tiering is unnecessary; Tiering replaces consent; Tiering guarantees there is no risk.",Gates / Guardrails; Controlled Research Environments; Anonymized Research Access; Direct Identifiers,tiered-access; data-governance; least-privilege; privacy-by-design; research-sharing; compliance
110,Trial-and-Error Sexuality,Pattern & Dynamic,"A learning pattern where people develop sexual knowledge mainly through experimentation without guidance, often increasing confusion, shame, or mismatch.","Trial-and-error can be normal, but when it’s the primary pathway (due to taboo or poor education), it can create avoidable harm: misread consent, unrealistic expectations, and difficulty communicating needs. Supportive alternatives include education, reflective prompts, and consent-centered conversations that reduce risk and build confidence.",Learning boundaries only after an uncomfortable experience; Couples repeating patterns that don’t work because they can’t name preferences; Confusing arousal with consent due to lack of guidance.,Pleasure & Sexual Wellbeing,Sensitive,"Trial-and-error is the only way to learn; If sex is awkward, you’re incompatible; Guidance kills spontaneity; Communication is unnecessary if there is attraction.",Consent Frameworks; Reflective Prompts; Sexual Confidence; Signal Mismatch; Systemic Gap in Sexual Education,trial-and-error; sexual-learning; intimacy-skills; consent-education; communication; wellbeing
111,Typical Sexual Fantasies,Trait & Disposition,"The recurring fantasy themes or scenarios a person tends to find erotic, which may or may not match what they want in real life.","Fantasy themes can involve novelty, power, romance, taboo, tenderness, or role play, and they are shaped by learning, culture, and personal history. Having a fantasy does not equal wanting to act it out; consent and boundaries always apply. Talking about fantasies can deepen intimacy when approached with curiosity, privacy, and clear agreements.",Someone enjoys “stranger” novelty fantasies while preferring monogamy in life; A person has power-play fantasies but keeps them within negotiated role play; Partners share a romantic storyline fantasy to increase arousal.,"Fantasy, Kink & Exploration",Highly Sensitive,"Fantasies reveal real-world intentions; If you fantasize about something, you must do it; Fantasies are abnormal and shameful; Sharing fantasies means you are dissatisfied with your partner.",Sexual Shadow; Fantasy; Role Play; Roleplay Boundaries; Consent; Fantasy Comfort,sexual-fantasies; erotic-fantasy-themes; fantasy-vs-reality; roleplay; kink-curiosity; private-intimacy
112,Vagus Nerve,Data & Research Method,"A major nerve connecting brain and body that supports regulation of heart rate, breathing, digestion, and social engagement—important for calming into intimacy.","The vagus nerve is often discussed as part of polyvagal ideas and “rest-and-digest” functioning. Practices like slow exhale breathing, humming, and gentle movement can support vagal tone for some people, though effects vary and are not a replacement for medical care. In relationships, feeling safe and connected is one of the most reliable ways to support regulation.",Using slower breathing to reduce anxiety before initiating sex; Noticing that emotional reassurance changes bodily tension quickly; Taking a warm shower or stretching to shift from stress into relaxation.,Emotional & Attachment Patterns,General,"You can “hack” the vagus nerve to fix everything; Vagal exercises guarantee increased libido; If someone can’t relax, they aren’t trying; Vagus nerve concepts replace professional health support.",Polyvagal Theory; Autonomic Nervous System (ANS); Somatic Integration; Arousal Brake; Emotional Safety,vagus-nerve; vagal-tone; nervous-system-regulation; relaxation; intimacy-readiness; stress
